srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank
Complex,simple,1,-1,1,levenshtein,-1,POST,12,-1,NTHU,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,2,-1,2,levenshtein,-1,POST,9,-1,NTHU,13,-1,AMU,1,-1,CUUI,10,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,3,-1,3,levenshtein,-1,POST,9,-1,NTHU,13,-1,AMU,1,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,4,-1,4,levenshtein,-1,POST,11,-1,NTHU,11,-1,AMU,10,-1,CUUI,11,-1,IITB,1,-1,IPN,1,-1,PKU,8,-1,RAC,8,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,5,-1,5,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,12,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,8,-1,8,levenshtein,-1,POST,9,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,12,-1,IPN,1,-1,PKU,9,-1,RAC,1,-1,SJTU,11,-1,UFC,1,-1,UMC,13,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,9,-1,9,levenshtein,-1,POST,6,-1,NTHU,6,-1,AMU,13,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,11,-1,RAC,6,-1,SJTU,1,-1,UFC,1,-1,UMC,10,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,10,-1,10,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,12,-1,12,levenshtein,-1,POST,8,-1,NTHU,11,-1,AMU,10,-1,CUUI,1,-1,IITB,1,-1,IPN,6,-1,PKU,6,-1,RAC,11,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,8,-1,SOURCE,1,-1,NUCLEA,13
Complex,simple,13,-1,13,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,12,-1,CUUI,1,-1,IITB,1,-1,IPN,12,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,14,-1,14,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,14,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,13
Complex,simple,15,-1,15,levenshtein,-1,POST,1,-1,NTHU,9,-1,AMU,14,-1,CUUI,1,-1,IITB,9,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,9,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,16,-1,16,levenshtein,-1,POST,12,-1,NTHU,10,-1,AMU,14,-1,CUUI,10,-1,IITB,1,-1,IPN,1,-1,PKU,8,-1,RAC,8,-1,SJTU,5,-1,UFC,1,-1,UMC,5,-1,CAMB,5,-1,SOURCE,1,-1,NUCLEA,13
Complex,simple,18,-1,18,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,12,-1,PKU,1,-1,RAC,12,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,19,-1,19,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,13,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,10,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,20,-1,20,levenshtein,-1,POST,1,-1,NTHU,11,-1,AMU,1,-1,CUUI,11,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,13,-1,UFC,1,-1,UMC,13,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,21,-1,21,levenshtein,-1,POST,14,-1,NTHU,1,-1,AMU,1,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,23,-1,23,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,24,-1,24,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,11,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,25,-1,25,levenshtein,-1,POST,8,-1,NTHU,1,-1,AMU,8,-1,CUUI,8,-1,IITB,1,-1,IPN,1,-1,PKU,8,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,27,-1,27,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,28,-1,28,levenshtein,-1,POST,8,-1,NTHU,8,-1,AMU,14,-1,CUUI,11,-1,IITB,1,-1,IPN,5,-1,PKU,10,-1,RAC,6,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,7,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,29,-1,29,levenshtein,-1,POST,13,-1,NTHU,14,-1,AMU,7,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,11,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,7,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,30,-1,30,levenshtein,-1,POST,13,-1,NTHU,8,-1,AMU,11,-1,CUUI,13,-1,IITB,1,-1,IPN,5,-1,PKU,5,-1,RAC,11,-1,SJTU,1,-1,UFC,1,-1,UMC,7,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,32,-1,32,levenshtein,-1,POST,9,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,9,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,9,-1,CAMB,9,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,33,-1,33,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,13,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,34,-1,34,levenshtein,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
